Cl	17	45	0.413	B-
Cl	17	46	0.232	B-
Cl	17	47	0.101	B-
Cl	17	48	2e-07	B-
Cl	17	49	1.7e-07	B-
Cl	17	50	6.2e-07	B-
Cl	17	51	2e-07	B-
Ar	18	30	2e-08	P
Ar	18	31	0.0144	EC
Ar	18	32	0.101	EC
Ar	18	33	0.173	EC
Ar	18	34	0.845	EC
Ar	18	35	1.78	EC
Ar	18	36	inf	None
Ar	18	37	3030000.0	EC
Ar	18	38	inf	None
Ar	18	39	8490000000.0	B-
Ar	18	40	inf	None
Ar	18	41	6580.0	B-
Ar	18	42	1040000000.0	B-
Ar	18	43	322.0	B-
Ar	18	44	712.0	B-
Ar	18	45	21.5	B-
Ar	18	46	8.4	B-
Ar	18	47	1.23	B-
Ar	18	48	0.475	B-
Ar	18	49	0.17	B-
Ar	18	50	0.085	B-
Ar	18	51	2e-07	B-
Ar	18	52	6.2e-07	B-
Ar	18	53	6.2e-07	B-
K	19	32	0.0	P
K	19	33	2.5e-08	P
K	19	34	2.5e-08	P
K	19	35	0.178	EC
K	19	36	0.342	EC
K	19	37	1.23	EC
K	19	38	458.0	EC
K	19	39	inf	None
K	19	40	3.94e+16	B-
K	19	41	inf	None
K	19	42	44400.0	B-
K	19	43	80300.0	B-
K	19	44	1330.0	B-
K	19	45	1070.0	B-
K	19	46	105.0	B-
K	19	47	17.5	B-
K	19	48	6.8	B-
K	19	49	1.26	B-
K	19	50	0.472	B-
K	19	51	0.365	B-
K	19	52	0.118	B-
K	19	53	0.03	B-
K	19	54	0.01	B-
K	19	55	3.6e-07	B-
K	19	56	6.2e-07	B-
Ca	20	34	3.5e-08	P
Ca	20	35	0.0257	EC
Ca	20	36	0.102	EC
Ca	20	37	0.181	EC
Ca	20	38	0.44	EC
Ca	20	39	0.86	EC
Ca	20	40	9.47e+28	2EC
Ca	20	41	3220000000000.0	EC
Ca	20	42	inf	None
Ca	20	43	inf	None
Ca	20	44	inf	None
Ca	20	45	14000000.0	B-
Ca	20	46	8.84e+22	2B-
Ca	20	47	392000.0	B-
Ca	20	48	1.83e+30	2B-
Ca	20	49	523.0	B-
Ca	20	50	13.9	B-
Ca	20	51	10.0	B-
Ca	20	52	4.6	B-
Ca	20	53	0.09	B-
Ca	20	54	0.086	B-
Ca	20	55	0.022	B-
Ca	20	56	0.011	B-
Ca	20	57	6.2e-07	B-
Ca	20	58	6.2e-07	B-
Sc	21	36	0.0	P
Sc	21	37	0.0	P
Sc	21	38	0.0	P
Sc	21	39	3e-07	P
Sc	21	40	0.182	EC
Sc	21	41	0.596	EC
Sc	21	42	0.681	EC
Sc	21	43	14000.0	EC
Sc	21	44	14300.0	EC
Sc	21	45	inf	None
Sc	21	46	7240000.0	B-
Sc	21	47	289000.0	B-
Sc	21	48	157000.0	B-
Sc	21	49	3430.0	B-
Sc	21	50	102.0	B-
Sc	21	51	12.4	B-
Sc	21	52	8.2	B-
Sc	21	53	2.4	B-
Sc	21	54	0.526	B-
Sc	21	55	0.096	B-
Sc	21	56	0.026	B-
Sc	21	57	0.022	B-
Sc	21	58	0.012	B-
Sc	21	59	3.6e-07	B-
Sc	21	60	3.6e-07	B-
Sc	21	61	3.6e-07	B-
Ti	22	38	0.0	EC
Ti	22	39	0.031	EC
Ti	22	40	0.0524	EC
Ti	22	41	0.0804	EC
Ti	22	42	0.199	EC
Ti	22	43	0.509	EC
Ti	22	44	1890000000.0	EC
Ti	22	45	11100.0	EC
Ti	22	46	inf	None
Ti	22	47	inf	None
Ti	22	48	inf	None
Ti	22	49	inf	None
Ti	22	50	inf	None
Ti	22	51	346.0	B-
Ti	22	52	102.0	B-
Ti	22	53	32.7	B-
Ti	22	54	1.5	B-
Ti	22	55	1.3	B-
Ti	22	56	0.2	B-
Ti	22	57	0.098	B-
Ti	22	58	0.057	B-
Ti	22	59	0.0275	B-
Ti	22	60	0.0224	B-
Ti	22	61	0.015	B-
Ti	22	62	6.2e-07	B-
Ti	22	63	3.6e-07	B-
V	23	40	0.0	P
V	23	41	0.0	P
V	23	42	5.5e-08	P
V	23	43	0.0793	EC
V	23	44	0.111	EC
V	23	45	0.547	EC
V	23	46	0.423	EC
